client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250501-043900-MACD-000-45,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-024,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-188,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,1808.48,0.0,['0.00904240 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1eb9a2f0-e2ac-40d4-893f-c7027a5fd08d,2025-05-01 04:39:00+00:00,2025-05-01 04:39:00+00:00
O-20250501-043900-MACD-000-46,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-025,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-189,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,1808.48,0.0,['0.00904240 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6b15a872-1621-4ae1-943b-3bd5451a55a1,2025-05-01 04:39:00+00:00,2025-05-01 04:39:00+00:00
O-20250501-044200-MACD-000-47,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-022,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-188,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,94768.7,0.0,['0.47384350 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3ce8d653-773e-48f0-a099-95028bb493c6,2025-05-01 04:42:00+00:00,2025-05-01 04:42:00+00:00
O-20250501-044200-MACD-000-48,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-023,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-189,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,94768.7,0.0,['0.47384350 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,27201552-926b-4f26-ae09-661d352346fa,2025-05-01 04:42:00+00:00,2025-05-01 04:42:00+00:00
O-20250501-053000-MACD-000-49,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-024,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-206,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,94854.3,0.0,['0.47427150 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5bd680bc-c8f2-4902-8831-63f7d25dd2ef,2025-05-01 05:30:00+00:00,2025-05-01 05:30:00+00:00
O-20250501-053000-MACD-000-50,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-025,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-207,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,94854.3,0.0,['0.47427150 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7f8c58da-6b81-4c87-9713-a3f1eb8f7cb3,2025-05-01 05:30:00+00:00,2025-05-01 05:30:00+00:00
O-20250501-053300-MACD-000-51,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-026,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-209,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,94971.2,0.0,['0.47485600 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,204faa78-bc36-48dd-a91c-8ab63a269745,2025-05-01 05:33:00+00:00,2025-05-01 05:33:00+00:00
O-20250501-053300-MACD-000-52,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-027,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-210,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,94971.2,0.0,['0.47485600 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6f7225a9-c8ce-446c-b32f-2935836aad70,2025-05-01 05:33:00+00:00,2025-05-01 05:33:00+00:00
O-20250501-060900-MACD-000-53,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-028,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-223,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,95041.9,0.0,['0.47520950 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,796b5897-dd9d-4adc-a8e9-82171daf7bd4,2025-05-01 06:09:00+00:00,2025-05-01 06:09:00+00:00
O-20250501-060900-MACD-000-54,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-029,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-224,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,95041.9,0.0,['0.47520950 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e37fccc6-4c0f-4435-bee6-c53169de6bb2,2025-05-01 06:09:00+00:00,2025-05-01 06:09:00+00:00
O-20250501-061200-MACD-000-55,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-026,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-221,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,1809.27,0.0,['0.00904635 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4355bd70-753f-4016-a670-7d3a0bfbf963,2025-05-01 06:12:00+00:00,2025-05-01 06:12:00+00:00
